Geography_3,Geography_3_description,Geography_2,Geography_2_description,Geography_1,Geography_1_description,Metric_description,Product_description,Time_2,Time_2_description,Time_1,Time_1_description,value
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Feb,Feb,2023,2023,1523.95
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,929.49
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,3776.4
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,1801.1700000000005
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,3327.68
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,2345.48
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Jan,Jan,2023,2023,4111.81
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,989.13
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,2125.55
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,674.0400000000002
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,2019.82
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,3039.64
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Jul,Jul,2023,2023,3287.94
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,1887.22
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,3069.83
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,1038.8200000000002
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,2339.02
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,2279.5
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Jun,Jun,2023,2023,2906.33
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,842.77
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,2112.78
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,630.8699999999999
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,2654.07
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,1081.94
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Mar,Mar,2023,2023,3266.94
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,May,May,2023,2023,1105.21
CH,China,Asia,Asia,Global,Global,Revenue,Electronics,May,May,2023,2023,1126.31
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,May,May,2023,2023,1067.13
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,May,May,2023,2023,1533.6
JA,Japan,Asia,Asia,Global,Global,Revenue,Electronics,May,May,2023,2023,1124.45
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,May,May,2023,2023,1354.0
