Geography_3,Geography_3_description,Geography_2,Geography_2_description,Geography_1,Geography_1_description,Metric_description,Product_description,Time_2,Time_2_description,Time_1,Time_1_description,value
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,6004.93
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,2703.43
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,1916.3999999999996
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,4916.06
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Nov,Nov,2023,2023,2644.32
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,5798.19
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,2515.77
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,1224.7199999999993
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,4545.81
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Oct,Oct,2023,2023,4203.08
Asia_Reserve_3,<Reserve>,Asia,Asia,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,5379.9
CAN,Canada,N-AM,North America,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,1974.44
Europe_Reserve_3,<Reserve>,Europe,Europe,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,1389.6100000000001
GER,Germany,Europe,Europe,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,3241.39
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,Sep,Sep,2023,2023,3102.7
N-AM_Reserve_3,<Reserve>,N-AM,North America,Global,Global,Revenue,Electronics,2023_Reserve_2,<Reserve>,2023,2023,-2730.24
US,United States,N-AM,North America,Global,Global,Revenue,Electronics,2023_Reserve_2,<Reserve>,2023,2023,2730.2399999999993
